"group","content","start","end"
1,"BA","2004-09-21","2008-07-21"
1,"MA","2008-09-21","2011-07-21"
1,"1st PhD","2011-09-21","2015-10-30"
1,"2nd PhD","2015-11-01","2018-10-01"
2,"1st PhD visit Brest France","2015-02-24","2015-07-30"
2,"1st PhD visit Barcelona Spain","2015-07-06","2015-07-30"
3,"ABM Unibs","2017-09-04","2017-09-08"
3,"Python Trento uni","2017-04-12","2017-04-13"
3,"ABM Unibs","2016-06-20","2016-06-24"
3,"Rsiena 2nd EUSN","2016-06-14 09:00","2016-06-14 12:00"
3,"TERGM 2nd EUSN","2016-06-14 14:00","2016-06-14 17:00"
3,"SNA Lugano PhD Course","2016-04-29","2016-06-08"
3,"ERGM Lugano USI","2016-04-18","2016-04-20"
3,"PNA Barcelona Spain","2015-07-06","2015-07-10"
4,"Sooremehr R&D","2011-09-21","2013-12-21"
4,"MCI R&D","2014-01-05","2014-05-05"
5,"Yazd uni","2012-01-10","2013-07-21"
5,"AST uni","2012-04-01","2013-07-21"
